symbol,trade1_id,account1,trade2_id,account2,open_diff_sec,close_diff_sec
XAUUSD,44704175,10497263,1742642088724873658,100737203,205.872,235.122
XAUUSD,1743933942389739318,1774562,1743933942389949495,1764573,15.386001,266.424
XAUUSD,1743933942411244485,1715470,46075864,10519123,169.021,209.328999
XAUUSD,46681263,10530312,1743933942435722387,1779273,139.631001,213.934999
XAUUSD,46681263,10530312,46681590,10458709,37.0,39.0
XAUUSD,1742642088816625432,100774459,1742642088816699263,100735172,285.263,149.925
XAUUSD,38222501,5790194,1743933942462905116,1525120,245.923,30.508
XAUUSD,38222501,5790194,47417400,10501890,121.272,11.14
XAUUSD,47598019,10536351,47598324,10292656,13.0,168.0
XAUUSD,45013268,10451773,45021784,10294645,243.0,278.0
XAUUSD,1743933942411010796,1777988,46075864,10519123,200.804,226.313
XAUUSD,46159359,10437211,46151590,10435549,193.0,49.0
XAUUSD,46303897,10424023,46308379,10372329,210.0,202.0
XAUUSD,46303897,10424023,46298637,10386941,219.0,237.0
XAUUSD,46303897,10424023,46302686,10417959,57.0,131.0
XAUUSD,46303897,10424023,46299346,10522362,190.0,273.0
XAUUSD,46726378,10529728,46728508,10143472,256.0,253.0
XAUUSD,47478572,10208986,47479525,10463002,1.0,5.0
XAUUSD,47478572,10208986,1743933942464605914,1766646,109.434,88.229
XAUUSD,47478572,10208986,47477628,10506162,146.0,227.0
XAUUSD,45290818,10446953,45292875,10493318,233.0,221.0
XAUUSD,45455260,10194059,1743933942386853536,1759692,192.128999,13.509999
NDX100,1742642088776576837,100764574,46306054,10244653,160.171,168.789
XAUUSD,46603381,10487713,46601872,10506731,121.0,201.0
XAUUSD,46933173,10530910,46938160,10377491,266.0,192.0
XAUUSD,47029310,10384895,47027416,10306589,43.0,272.0
XAUUSD,47135883,10531221,47135108,10530036,34.0,7.0
XAUUSD,1743933942461673749,1764254,47391600,10513104,299.735,212.197001
XAUUSD,47479525,10463002,1743933942464605914,1766646,108.434,83.229
XAUUSD,47479525,10463002,47477628,10506162,147.0,232.0
XAUUSD,44836654,10222780,1743933942364780809,1766611,4.355001,24.687999
XAUUSD,45780703,10481826,45773931,10311382,230.0,0.0
XAUUSD,46523009,10381031,1743933942426045493,1757737,185.476001,142.414001
