Trade 1 ID,Trade 2 ID,Symbol,Category
44098285,1743933942365701449,EURUSD,Partial Copy
44098285,45763708,EURUSD,Reverse Trade
44098285,1743933942406015360,EURUSD,Partial Copy
44098285,46134271,EURUSD,Partial Copy
44098285,1743933942418912960,EURUSD,Partial Copy
44098285,46442535,EURUSD,Partial Copy
44098285,46879071,EURUSD,Reverse Trade
44098285,1743933942447201143,EURUSD,Partial Copy
44098285,47034530,EURUSD,Copy Trade
44098285,47133490,EURUSD,Reverse Trade
44098285,47158310,EURUSD,Partial Copy
44098285,47269018,EURUSD,Partial Copy
44098285,47577213,EURUSD,Copy Trade
1743933942429236374,1742642088710925532,EURUSD,Partial Copy
1743933942429236374,44385636,EURUSD,Partial Copy
1743933942429236374,44400945,EURUSD,Partial Copy
1743933942429236374,38185951,EURUSD,Partial Copy
1743933942429236374,38188624,EURUSD,Partial Copy
1743933942429236374,38188725,EURUSD,Partial Copy
1743933942429236374,45479996,EURUSD,Partial Copy
1743933942429236374,45651744,EURUSD,Partial Copy
1743933942429236374,45697869,EURUSD,Partial Copy
1743933942429236374,45823705,EURUSD,Partial Copy
1743933942429236374,45908669,EURUSD,Partial Copy
1743933942429236374,46465026,EURUSD,Partial Copy
1743933942429236374,46627259,EURUSD,Partial Copy
1743933942429236374,46628732,EURUSD,Partial Copy
1743933942429236374,46764834,EURUSD,Partial Copy
1743933942429236374,46898488,EURUSD,Partial Copy
1743933942429236374,47174606,EURUSD,Partial Copy
1743933942429236374,47322542,EURUSD,Partial Copy
1743933942429236374,47412555,EURUSD,Partial Copy
1743933942347652187,38182136,EURUSD,Copy Trade
1743933942347652187,1743933942448903129,EURUSD,Partial Copy
1743933942347652187,46290186,EURUSD,Copy Trade
1742642088708564324,44290458,EURUSD,Partial Copy
1742642088708564324,45695476,EURUSD,Partial Copy
1742642088708564324,1742642088793656699,EURUSD,Partial Copy
1742642088710925532,1743933942355752687,EURUSD,Partial Copy
1742642088710925532,44385636,EURUSD,Copy Trade
1742642088710925532,44454238,EURUSD,Partial Copy
1742642088710925532,44400945,EURUSD,Partial Copy
1742642088710925532,44797294,EURUSD,Partial Copy
1742642088710925532,38185951,EURUSD,Partial Copy
1742642088710925532,38188624,EURUSD,Copy Trade
1742642088710925532,38188725,EURUSD,Partial Copy
1742642088710925532,45479996,EURUSD,Reverse Trade
1742642088710925532,45697869,EURUSD,Reverse Trade
1742642088710925532,45823705,EURUSD,Reverse Trade
1742642088710925532,45908669,EURUSD,Partial Copy
1742642088710925532,46465026,EURUSD,Reverse Trade
1742642088710925532,46627259,EURUSD,Reverse Trade
1742642088710925532,46628732,EURUSD,Partial Copy
1742642088710925532,46764834,EURUSD,Partial Copy
1742642088710925532,46898488,EURUSD,Copy Trade
1742642088710925532,47116736,EURUSD,Partial Copy
1742642088710925532,47322542,EURUSD,Partial Copy
1742642088710925532,47412555,EURUSD,Partial Copy
