Trade 1 ID,Trade 2 ID,Symbol,Category,Mode,Same User,Violation,User1,User2
1742642088782724492,1742642088807273520,AUDJPY,Copy Trade,B,False,False,100766360,100769050
46133011,45881664,AUDUSD,Partial Copy,B,False,False,10393550,10381674
44040014,1743933942385033050,BTCUSD,Copy Trade,B,False,False,10326973,1728829
44040014,46690299,BTCUSD,Copy Trade,B,False,False,10326973,10528235
1743933942341698606,1743933942354880858,BTCUSD,Reverse Trade,B,False,False,1735939,1646049
44484970,45120165,BTCUSD,Partial Copy,B,False,False,10476339,10193455
44484970,46176404,BTCUSD,Copy Trade,B,False,False,10476339,10356799
44484970,46494698,BTCUSD,Partial Copy,B,False,False,10476339,10491123
45120165,46176404,BTCUSD,Partial Copy,B,False,False,10193455,10356799
45120165,46494698,BTCUSD,Copy Trade,B,False,False,10193455,10491123
1743933942385033050,46690299,BTCUSD,Copy Trade,B,False,False,1728829,10528235
1743933942405696151,1742642088776877153,BTCUSD,Copy Trade,B,False,False,1749452,100758035
46176404,46494698,BTCUSD,Partial Copy,B,False,False,10356799,10491123
44249532,46594368,DJI30,Reverse Trade,B,False,False,10406622,10413339
1743933942362217513,1742642088778120179,DJI30,Copy Trade,B,False,False,1725093,100765290
1743933942362217513,1743933942465815176,DJI30,Partial Copy,B,False,False,1725093,1768124
1743933942365686878,44920451,DJI30,Copy Trade,B,False,False,1687644,10457281
1743933942365686878,45016444,DJI30,Reverse Trade,B,False,False,1687644,10445742
1743933942365686878,1743933942378426594,DJI30,Copy Trade,B,False,False,1687644,1721895
1743933942365686878,45344140,DJI30,Reverse Trade,B,False,False,1687644,10454339
1743933942365686878,47304731,DJI30,Partial Copy,B,False,False,1687644,10503330
1743933942365686878,1743933942465505495,DJI30,Copy Trade,B,False,False,1687644,1689489
44868792,1743933942380073019,DJI30,Copy Trade,B,False,False,10419628,1764640
44868792,1742642088773436207,DJI30,Copy Trade,B,False,False,10419628,100727463
44868792,46712482,DJI30,Partial Copy,B,False,False,10419628,10367521
44868792,47520788,DJI30,Copy Trade,B,False,False,10419628,10198540
44885846,1742642088759461002,DJI30,Partial Copy,B,False,False,10279429,100749961
44885846,46719108,DJI30,Partial Copy,B,False,False,10279429,10402305
44920451,45016444,DJI30,Reverse Trade,B,False,False,10457281,10445742
44920451,1743933942378426594,DJI30,Copy Trade,B,False,False,10457281,1721895
44920451,45344140,DJI30,Reverse Trade,B,False,False,10457281,10454339
44920451,47304731,DJI30,Partial Copy,B,False,False,10457281,10503330
44920451,1743933942465505495,DJI30,Copy Trade,B,False,False,10457281,1689489
45016444,1743933942378426594,DJI30,Reverse Trade,B,False,False,10445742,1721895
45016444,45344140,DJI30,Copy Trade,B,False,False,10445742,10454339
45016444,47304731,DJI30,Partial Copy,B,False,False,10445742,10503330
45016444,1743933942465505495,DJI30,Reverse Trade,B,False,False,10445742,1689489
45068996,1743933942371619279,DJI30,Partial Copy,B,False,False,10383540,1763386
45068996,45122335,DJI30,Copy Trade,B,False,False,10383540,10292098
1743933942371619279,45122335,DJI30,Partial Copy,B,False,False,1763386,10292098
1743933942371619279,46719108,DJI30,Partial Copy,B,False,False,1763386,10402305
1743933942378426594,45344140,DJI30,Reverse Trade,B,False,False,1721895,10454339
1743933942378426594,47304731,DJI30,Partial Copy,B,False,False,1721895,10503330
1743933942378426594,1743933942465505495,DJI30,Copy Trade,B,False,False,1721895,1689489
1743933942380073019,1742642088773436207,DJI30,Copy Trade,B,False,False,1764640,100727463
1743933942380073019,46712482,DJI30,Partial Copy,B,False,False,1764640,10367521
1743933942380073019,47520788,DJI30,Copy Trade,B,False,False,1764640,10198540
45344140,47304731,DJI30,Partial Copy,B,False,False,10454339,10503330
45344140,1743933942465505495,DJI30,Reverse Trade,B,False,False,10454339,1689489
45434112,1743933942407803384,DJI30,Copy Trade,B,False,False,10509752,1768455
1742642088773436207,46712482,DJI30,Partial Copy,B,False,False,100727463,10367521
1742642088773436207,47520788,DJI30,Copy Trade,B,False,False,100727463,10198540
1742642088778120179,1743933942465815176,DJI30,Partial Copy,B,False,False,100765290,1768124
46523840,46712482,DJI30,Partial Copy,B,False,False,10177086,10367521
46712482,47520788,DJI30,Partial Copy,B,False,False,10367521,10198540
47304731,1743933942465505495,DJI30,Partial Copy,B,False,False,10503330,1689489
1742642088705705779,1743933942391606552,ETHUSD,Reverse Trade,B,False,False,100737864,1718744
1742642088705705779,1743933942393902466,ETHUSD,Partial Copy,B,False,False,100737864,1754095
1742642088705705779,46209203,ETHUSD,Copy Trade,B,False,False,100737864,10456713
1742642088705705779,46536354,ETHUSD,Reverse Trade,B,False,False,100737864,10505247
1742642088705705779,1742642088792842692,ETHUSD,Reverse Trade,B,False,False,100737864,100758967
1743933942391606552,1743933942393902466,ETHUSD,Partial Copy,B,False,False,1718744,1754095
1743933942391606552,46209203,ETHUSD,Reverse Trade,B,False,False,1718744,10456713
1743933942391606552,46536354,ETHUSD,Copy Trade,B,False,False,1718744,10505247
1743933942391606552,1742642088792842692,ETHUSD,Copy Trade,B,False,False,1718744,100758967
1743933942393902466,46209203,ETHUSD,Partial Copy,B,False,False,1754095,10456713
1743933942393902466,46536354,ETHUSD,Partial Copy,B,False,False,1754095,10505247
1743933942393902466,1742642088792842692,ETHUSD,Partial Copy,B,False,False,1754095,100758967
46209203,46536354,ETHUSD,Reverse Trade,B,False,False,10456713,10505247
46209203,1742642088792842692,ETHUSD,Reverse Trade,B,False,False,10456713,100758967
46536354,1742642088792842692,ETHUSD,Copy Trade,B,False,False,10505247,100758967
38192231,45695693,EURAUD,Partial Copy,B,False,False,5790706,10498192
1742642088717962360,45671530,EURGBP,Partial Copy,B,False,False,100724443,10312329
44698429,45523140,EURJPY,Reverse Trade,B,False,False,10482871,10405598
44698429,45623131,EURJPY,Reverse Trade,B,False,False,10482871,10400160
44698429,45844380,EURJPY,Reverse Trade,B,False,False,10482871,10241703
44717391,45458708,EURJPY,Partial Copy,B,False,False,10381312,10127423
44724224,1743933942373527147,EURJPY,Partial Copy,B,False,False,10417195,1760081
44724224,45939780,EURJPY,Copy Trade,B,True,True,10417195,10417195
1743933942373527147,45939780,EURJPY,Partial Copy,B,False,False,1760081,10417195
45523140,45623131,EURJPY,Copy Trade,B,False,False,10405598,10400160
45523140,45844380,EURJPY,Copy Trade,B,False,False,10405598,10241703
45623131,45844380,EURJPY,Copy Trade,B,False,False,10400160,10241703
42732016,1742642088710925532,EURUSD,Partial Copy,B,False,False,10390413,100742810
42732016,1743933942355752687,EURUSD,Partial Copy,B,False,False,10390413,1771854
42732016,44385636,EURUSD,Partial Copy,B,False,False,10390413,10314258
42732016,44454238,EURUSD,Partial Copy,B,False,False,10390413,10192723
42732016,44400945,EURUSD,Partial Copy,B,False,False,10390413,10194437
42732016,1743933942368448941,EURUSD,Partial Copy,B,False,False,10390413,1567986
42732016,44797294,EURUSD,Partial Copy,B,False,False,10390413,10136074
42732016,38185951,EURUSD,Partial Copy,B,False,False,10390413,5731920
42732016,38188624,EURUSD,Partial Copy,B,False,False,10390413,5787264
42732016,45479996,EURUSD,Partial Copy,B,False,False,10390413,10375349
42732016,45697869,EURUSD,Partial Copy,B,False,False,10390413,10461742
42732016,1743933942402159302,EURUSD,Partial Copy,B,False,False,10390413,1598873
42732016,45823705,EURUSD,Partial Copy,B,False,False,10390413,10306388
42732016,45908669,EURUSD,Partial Copy,B,False,False,10390413,10337433
42732016,46465026,EURUSD,Partial Copy,B,False,False,10390413,10521892
42732016,46627259,EURUSD,Partial Copy,B,False,False,10390413,10247795
42732016,46898488,EURUSD,Partial Copy,B,False,False,10390413,10209175
42732016,47116736,EURUSD,Partial Copy,B,False,False,10390413,10278257
42732016,47322542,EURUSD,Partial Copy,B,False,False,10390413,10402863
1743933942340491541,44098285,EURUSD,Partial Copy,B,False,False,1724875,10453523
1743933942340491541,44391017,EURUSD,Reverse Trade,B,False,False,1724875,10160999
1743933942340491541,44546230,EURUSD,Partial Copy,B,False,False,1724875,10469185
1743933942340491541,44660724,EURUSD,Partial Copy,B,False,False,1724875,10376566
1743933942340491541,44681840,EURUSD,Partial Copy,B,False,False,1724875,10409807
1743933942340491541,45763708,EURUSD,Partial Copy,B,False,False,1724875,10451847
1743933942340491541,46442535,EURUSD,Copy Trade,B,False,False,1724875,10400544
1743933942340491541,46879071,EURUSD,Partial Copy,B,False,False,1724875,10525304
1743933942340491541,47034530,EURUSD,Partial Copy,B,False,False,1724875,10410570
1743933942340491541,47133490,EURUSD,Partial Copy,B,False,False,1724875,10219519
1743933942340491541,47269018,EURUSD,Partial Copy,B,False,False,1724875,10378176
1743933942340491541,47577213,EURUSD,Partial Copy,B,False,False,1724875,10472999
38176104,44274193,EURUSD,Reverse Trade,B,False,False,5786070,10238616
38176104,44610856,EURUSD,Reverse Trade,B,False,False,5786070,10272836
38176104,44630767,EURUSD,Copy Trade,B,False,False,5786070,10402511
38176104,44686094,EURUSD,Reverse Trade,B,False,False,5786070,10496958
38176104,1743933942364315175,EURUSD,Reverse Trade,B,False,False,5786070,1771125
38176104,44833225,EURUSD,Copy Trade,B,False,False,5786070,10499278
38176104,45106927,EURUSD,Reverse Trade,B,False,False,5786070,10395426
